ALGOR,CRIT_DIST,ORI_ERROR,W2,Mean_avoided_collisions,Mean_navigation_time,Mean_CA_time,Mean_distance_travelled,Minimum_avoided_collisions,Minimum_navigation_time,Minimum_CA_time,Minimum_distance_travelled,Maximum_avoided_collisions,Maximum_navigation_time,Maximum_CA_time,Maximum_distance_travelled
1,6.0,0.4,0.5,29.2,104.42,28.23,45.64,26,98.71,23.96,43.68,32,108.8,30.79,47.04
1,6.0,0.4,2.5,94.0,176.35,66.16,69.53,39,105.16,25.07,46.36,221,340.36,156.51,121.7
1,6.0,0.4,500.0,172.8,257.12,97.57,92.54,51,112.51,27.63,48.27,323,455.09,191.78,148.56
1,6.0,0.6,0.5,24.4,92.31,22.74,42.88,20,90.54,21.29,41.63,28,96.15,24.23,44.61
1,6.0,0.6,2.5,38.8,109.63,29.5,48.67,32,94.4,20.72,43.21,46,122.98,37.29,53.94
1,6.0,0.6,500.0,55.2,130.3,36.18,53.33,47,114.12,28.19,48.2,67,148.89,45.78,58.89
1,6.0,0.8,0.5,12.4,78.67,13.55,38.14,12,76.23,12.43,37.31,14,80.65,14.12,39.34
1,6.0,0.8,2.5,20.0,91.07,19.12,43.08,18,83.9,16.9,38.37,24,104.33,25.01,49.19
1,6.0,0.8,500.0,28.4,104.33,22.62,46.41,22,95.49,18.1,43.1,38,120.04,30.05,52.03
1,7.0,0.4,0.5,43.2,113.38,34.92,50.06,36,104.24,29.99,46.81,50,121.64,37.68,52.12
1,7.0,0.4,2.5,97.2,163.9,60.27,69.52,70,136.74,44.02,59.86,127,193.29,77.09,80.78
1,7.0,0.4,500.0,245.6,320.3,130.49,116.6,128,198.28,69.68,73.23,367,459.57,200.17,160.64
1,7.0,0.6,0.5,37.4,102.21,28.52,46.8,34,100.11,26.71,45.88,42,106.19,32.68,47.95
1,7.0,0.6,2.5,51.8,119.41,35.3,52.91,43,104.3,27.03,48.02,70,147.43,48.56,63.83
1,7.0,0.6,500.0,108.0,185.16,63.25,72.28,88,154.2,47.98,64.47,143,234.4,85.83,88.14
1,7.0,0.8,0.5,24.4,92.32,23.95,43.36,20,88.08,19.3,40.44,28,96.24,27.14,45.11
1,7.0,0.8,2.5,32.2,104.35,27.55,47.6,22,94.14,20.54,43.36,40,113.5,33.08,51.52
1,7.0,0.8,500.0,57.0,129.28,36.21,55.08,46,113.95,29.16,49.15,84,151.41,47.31,62.14
1,10.0,0.4,0.5,186.0,285.34,142.93,123.32,130,210.14,97.3,92.65,271,402.67,214.22,171.45
1,10.0,0.4,2.5,446.4,520.82,277.79,217.28,290,388.1,187.4,165.75,561,592.59,331.96,249.85
1,10.0,0.4,500.0,516.4,555.87,267.17,219.12,364,466.1,203.33,178.24,599,592.61,295.07,240.12
1,10.0,0.6,0.5,136.6,229.32,107.54,100.58,104,194.01,85.21,85.69,171,266.68,129.94,116.98
1,10.0,0.6,2.5,253.8,365.13,179.06,153.28,152,253.85,113.72,108.45,432,530.15,282.7,225.04
1,10.0,0.6,500.0,260.4,369.49,159.62,141.89,178,283.6,113.94,109.36,371,512.91,246.39,185.63
1,10.0,0.8,0.5,66.0,143.17,56.47,65.63,54,129.16,51.82,59.75,82,160.07,66.63,74.04
1,10.0,0.8,2.5,149.8,248.26,109.55,107.14,68,144.26,52.01,64.65,258,375.3,180.65,159.17
1,10.0,0.8,500.0,229.4,337.95,139.35,134.07,194,276.81,108.52,111.78,270,397.73,168.7,153.87
1,20.0,0.4,0.5,331.6,564.55,365.17,234.58,233,494.51,309.17,183.66,376,592.84,391.07,259.87
1,20.0,0.4,2.5,496.4,592.04,350.72,251.03,485,591.54,349.08,248.89,535,593.13,352.14,253.12
1,20.0,0.4,500.0,572.6,592.06,302.18,234.89,531,591.52,299.99,233.14,591,593.1,304.29,236.6
1,20.0,0.6,0.5,369.8,587.33,384.62,264.48,349,568.24,371.8,253.15,390,593.22,393.31,267.8
1,20.0,0.6,2.5,475.4,592.74,351.15,255.11,462,591.57,349.77,252.95,484,593.86,353.59,257.44
1,20.0,0.6,500.0,440.8,591.3,303.07,227.15,336,590.09,296.97,210.06,550,592.38,308.11,237.98
1,20.0,0.8,0.5,343.6,558.93,368.64,254.43,224,436.85,278.13,197.91,387,591.25,392.76,269.35
1,20.0,0.8,2.5,450.4,592.95,351.31,257.8,432,592.28,349.58,254.75,471,594.15,352.84,260.88
1,20.0,0.8,500.0,367.2,592.13,299.89,235.54,353,590.98,287.25,234.38,396,593.51,303.68,236.94
